author_name,code_smell,files,NCLOC,CLASSES
Mike Little,REM,EQUAL,ADD,EQUAL
Mike Little,EQUAL,EQUAL,REM,EQUAL
Mike Little,REM,EQUAL,ADD,EQUAL
Matt Mullenweg,EQUAL,EQUAL,EQUAL,EQUAL
Matt Mullenweg,EQUAL,EQUAL,REM,EQUAL
Matt Mullenweg,EQUAL,EQUAL,ADD,EQUAL
Matt Mullenweg,EQUAL,EQUAL,ADD,EQUAL
Matt Mullenweg,EQUAL,EQUAL,EQUAL,EQUAL
Matt Mullenweg,ADD,EQUAL,ADD,EQUAL
Matt Mullenweg,ADD,EQUAL,ADD,EQUAL
Matt Mullenweg,EQUAL,EQUAL,EQUAL,EQUAL
Matt Mullenweg,ADD,EQUAL,ADD,EQUAL
Matt Mullenweg,EQUAL,EQUAL,EQUAL,EQUAL
Matt Mullenweg,REM,EQUAL,REM,EQUAL
Matt Mullenweg,REM,EQUAL,REM,EQUAL
Matt Mullenweg,EQUAL,EQUAL,ADD,EQUAL
Matt Mullenweg,ADD,ADD,ADD,EQUAL
Matt Mullenweg,EQUAL,EQUAL,EQUAL,EQUAL
Matt Mullenweg,EQUAL,EQUAL,REM,EQUAL
Mike Little,ADD,EQUAL,EQUAL,EQUAL
Mike Little,EQUAL,EQUAL,REM,EQUAL
Matt Mullenweg,EQUAL,EQUAL,EQUAL,EQUAL
Matt Mullenweg,EQUAL,EQUAL,EQUAL,EQUAL
Matt Mullenweg,EQUAL,EQUAL,EQUAL,EQUAL
Matt Mullenweg,ADD,EQUAL,REM,EQUAL
Mike Little,EQUAL,EQUAL,EQUAL,EQUAL
Matt Mullenweg,EQUAL,EQUAL,ADD,EQUAL
Mike Little,ADD,EQUAL,ADD,EQUAL
Mike Little,EQUAL,EQUAL,EQUAL,EQUAL
Mike Little,EQUAL,EQUAL,EQUAL,EQUAL
Matt Mullenweg,EQUAL,EQUAL,EQUAL,EQUAL
Matt Mullenweg,EQUAL,EQUAL,EQUAL,EQUAL
Matt Mullenweg,EQUAL,EQUAL,EQUAL,EQUAL
Mike Little,ADD,EQUAL,EQUAL,EQUAL
Mike Little,ADD,EQUAL,EQUAL,EQUAL
Mike Little,EQUAL,EQUAL,EQUAL,EQUAL
Matt Mullenweg,EQUAL,EQUAL,EQUAL,EQUAL
Mike Little,EQUAL,EQUAL,EQUAL,EQUAL
Mike Little,REM,EQUAL,REM,EQUAL
Mike Little,REM,REM,REM,EQUAL
Mike Little,EQUAL,EQUAL,ADD,EQUAL
Mike Little,REM,EQUAL,ADD,EQUAL
Matt Mullenweg,REM,EQUAL,REM,EQUAL
Matt Mullenweg,ADD,EQUAL,ADD,EQUAL
Matt Mullenweg,EQUAL,EQUAL,REM,EQUAL
Matt Mullenweg,EQUAL,EQUAL,EQUAL,EQUAL
Matt Mullenweg,REM,EQUAL,EQUAL,EQUAL
Matt Mullenweg,REM,EQUAL,ADD,EQUAL
Mike Little,ADD,EQUAL,ADD,EQUAL
Mike Little,ADD,EQUAL,ADD,EQUAL
Matt Mullenweg,EQUAL,EQUAL,EQUAL,EQUAL
Matt Mullenweg,EQUAL,EQUAL,EQUAL,EQUAL
Mike Little,EQUAL,EQUAL,EQUAL,EQUAL
Mike Little,EQUAL,EQUAL,EQUAL,EQUAL
Matt Mullenweg,ADD,EQUAL,EQUAL,EQUAL
Matt Mullenweg,EQUAL,EQUAL,ADD,EQUAL
Mike Little,EQUAL,EQUAL,EQUAL,EQUAL
Mike Little,ADD,ADD,ADD,EQUAL
Mike Little,EQUAL,EQUAL,ADD,EQUAL
Matt Mullenweg,REM,EQUAL,ADD,EQUAL
